author_id,title,sentence,file_id,anno_level,category,author_age,author_occupation,author_sex,author_submission,author_handwriting,text_date,text_subclass,category_level,age_group
P00037,58년 개띠,"살 다 보니 어느 새 현역에서 은퇴하여 손주를 보며 즐거워하는 나이가 되었다. 지난 날을 되돌아 보면 세사을 그저 그렇게 열심히 살아오지 않은 것에 대해 후회가 미련에 남아 왜 그랬을까?로 시작해서 그 때 정신을 차렸으면 하는 아쉬움이 남는다. 아마도 내 또라나 더나이를 드신 분들은 한  번쯤 이런 생각을 했으리라.
그러다가 어떤 계기가 되어 한 10년 열심히 해서 집 한 채 마련하여 평범한 삶을 살고 있다. 그렇다고 지금에 처지에 불만이 있는 것은 아니고 내가 열심히 살지 않았기 때문에 현재의 상황에 감사하며 살고 있지만 왜? 많은 사람들이 젊은 시절에는 미래에 대해 계획하고 실천하지 못하고 나이가 들어가며 철이 들면서정신을차리고 사는 걸까에 대한 의문은 아직도 남아있다.(물론 다 그런 것은 아니지만)
사람이 태어나 살아가면서 열심히 일하면 일한 만큼의 대가를 얻어 의식주에 대한 고민 없이 생활하고 인간으로서 다양한 경험과 가치를알아가며 살아가는 것이 내가 생각하는 이상이자 꿈이다. 그러나 현실은 너무 팍팍하여 인간으로 태어난 것이 마치 일하러 태어난 것인냥 일에 치우쳐 살아가는 것이참 안타깝기만 하다. 난 참으로 이상주의자인가보다.
우리나라의 결혼식 문화는 한 번이라도 안면이 있는 사람은 본인 혹은 자녀의 결혼에 청첩장을 보낸다. 보내는 사람은 어떤 생각으로 보내는지 모르겠지만 받는 사람의 입장에서는 참 생각이 많아진다. 자주 만나고 친한 사이라면 기꺼이 축하해주며 참석하겠지만, 어쩌다 아는 사이 같은 경우에는 참석을 해야 할지, 참석을 하더라도 축의금을 얼마나 내야할지 고민인 것이다.
누구를 위해서 결혼식에 초대를 할까?
식장에 많은 사람이 왔다는 것을 과시하기 위해서?
축하객이 적으면 초라한 사람일까?
우리나라 사람들은 남한테 보여지는 것에 민감하기 때문이다.
결국 가까운 일가, 친척이 아니면 봉투 내밀고 식권 받아서 식당으로 향하지 결혼식을 끝까지 보지 않는다. 그리고 나한테 축의금을 낸 사람한테 청첩장이 오면 갚으러 가야하는 것이 현재의 실정이다. 꼭 초대할 사람만 초대해서 축하받는 간소한 결혼식이 내가 생각하는 결혼식 모습니다.
젊을 때에는 이 사람, 저 사람 만나러 다니느라  바깥출입이 잦았는데 나이 들어 어느 순간에 만나고 돌아오는 길이 공허하고 해서 만남을 거의 하지 않고 주로 집에서 책을 읽고, 등산을 하고, 자전거를 타며 소일하고 있다.
이런 저런 책을 읽다 보니 미처 몰랐던 나를 돌아보게 되고 나를 조금씩 알아가면서 남에게 보여지는 ""나""와 내가 보는 ""나""하고 상당한 괴리가 있음을 깨닫고 지나온 삶 속의 문제들이 내가 문제였음을 알아가는 것이 내 삶속에 있어서 상당한 성과이기도 하다.
이렇듯 삶을 어느 정도 살다 보니 나이 들은 것이 참 좋은 것이 많다. 치열한 경쟁에서 벗어나서 좋고, 자식들 다 커서 각자의 일을 하니 자식부담에서 벗어나서 좋으니 자연히 마음의 여유가 생겨 세상을 바라보는 시각도 달라짐을 느낄 수 있다.
다만 시대가 변하여 내가 젊었을 때는 부모가 결혼만 시켜주면 그 이후에는 독립적으로 살아 더 이상의 도움을 바라지 않았는데, 지금은 결혼한 자식도 어떤 방법으로든 도움을 줘야한다는 마음의 부담을 갖는다는 것이 현실이다.
이제 남은 삶을 어떻게 살아가야 할지, 어떤 방향으로 가야할지는 내 인생의 또 하나의 선택이다.",WDRW1900100037,원시,비출판물 > 일기,61,전업주부,M,온라인,No,20200000,null_노년기,비출판물 > 일기,60~69
P00075,아이를 키우며...,"담임 교사로부터 전화를 받았다. 그런 걱정을 해보지 않은 것은 아니나, 막상 이런 일이 닥치니 가슴이 '쿵' 내려 앉았다.
아이는 중학교 1학년.  담임 교사로부터  근 10여분 동안 얘기를 듣고 이해하려 애썼고 다시는 그런 일이 없도록 하겠다고 머리를 조아렸다.  얘기인 즉   내 아이가 좋아하고 남학생의 옆짝(물론 여학생이다.)을 괴롭힌다는 거다. 왕따를 시키고 급기야 울리기 까지 한  일이 오늘로 두 번째라는 것.  이에 대해  상대  남학생 조차 사실 좀 부담스러워 한다는 것.  그 일로 친구들이 선생님한테 혼나지 않을까 염려하자 내 아이  왈 "" 한번 면담만 하면…돼.""  했단다.  세상에나~   무서운 것 없는 그런 아이가 내 딸인가?
퇴근 발걸음이 무거웠다.  직장 동료들과 머리를 맞댔으나 별 뾰족한 수는 떠오르지는 않고 딸 아이에게 해 줄 말은 커녕 손 끝 하나 움직일 기운도 의욕도 없는 무기력증이 밀려왔다.  계속 머리 아픈 일들이 연이어 터져 안그래도 머리가 복잡했고 쓸데없는 곳에 실없이 낭비한 내 에너지에 은근히 분노하고 있을 있을 요즘이었다.  허나 아이의 일 하나로 모든 내 몸의 촉수는 힘을 잃었다.  마냥 걱정스러운  피할 수만 있다면 피하고 싶은, 그러나 그럴 수는 없는.
현관 문을 열자 아이가 문 앞에 서 있었다.  눈치를 보며 내 가방을 받는다.  눈이 부었다.  울었다는 얘기다.  왜 이 아이는 아무때나 누구 앞에서나 저렇게 잘 울까?  나와는 또 다른 아이…  감정을 숨기고 옷을 갈아 입니다.  티셔츠에 머리를 집어넣는 순간….갑자기 안스러운 생각이 덮쳐온다.  방 한 귀퉁이에 쭈그리고 앉아 있는 아이를 안아줬다.  아이는 그제서야 울음을 터뜨린다.   불안했던 듯하다.  혹시 엄마가 상심하고 실망하고 혹  혼나지나 않을까하는 걱정까지 더 해진 듯하다.
구구절절 아이는 자신의 억울함을 흐느껴 가며 털어 놓는다.   내 딸이고 그 아이의 엄마라 난 아이의 말을 믿는다.  …그러기에 그냥 잠자코 들어 주었다.  그러면서도 앞으로 어떻게 처신을 해야하는 데 있어서는 서로 의견이 엇갈린다.  난 어른의 힘으로 밀어 부친다.  나름 억울한 면도 없진 않겠지만..... 아이는 잠시 후 말이 없어졌다.
다음 날 퇴근 길에 수박을 샀다. 올 들어 처음 사는 수박이다.  무거워 엄두도 내지 않던, 뿐인가?   다 먹기 전에 시들고 때론 얼고…게다가 맛까지 없을 때의 그 처치 곤란함을 들어 한번도 살 마음이 내키지 않은 수박에 손이 간것은 순전이 아이 때문이다.  아이가 좋아하니까…  왠지 불쌍한 마음에 아이를 위해 이것 저것 손이 갔다.   김밥 재료도 샀다.  우리 동네 김밥집이 눈에 아른 거리지 않은 것은 아니나 곧 털어버렸다. 묵직한 무게만큼 마음도 든든해왔으니까…
아이는 이틀 연속 수박을 달고 산다.  가끔 날 위해 수박을 내 오기도 한다.  분명 싱크대에 났을 칼자국에 신경이 쓰이긴 했으나, 무시하기로 한다.
게다가 난 더 이상 그 일에 대해 아이에게 되묻지 않는다.  별 일 없다는 듯이 학교에 잘 다니는 아이.  씩씩한 아이.  한번 아팠으나, 더 씩씩하게 사랑하고 자랐으면 하는 마음만으로 그냥 지켜보려고 한다.
누군가 그랬다.
'이번 일이 끝이 아닌 시작'일 거라고..   사실  앞으로 어떤 일이 생길 지는 아무도 장담할 수 없다.  엄마라는 위치가 왜 늘 기도하는 마음이 될 수밖에 없는지를 새삼 절감하는 사건이었다.",WDRW1900100075,원시,비출판물 > 일기,55,전업주부,F,온라인,No,20200000,null_엄마,비출판물 > 일기,50~59
P00090,아들과 함계 읽는 책 -세계를 건너 너에게 갈께,"초등학교 방학이 시작되고 끝났다.
맞벌이 엄마인 나로써는 방학은 항상 해결하기 힘들지만 꼭 해야만 하는 숙제같은 존재이다.
이제 갓 입학한 1학년 둘째 아이는 학교 돌봄 교실을 이용하지만...
졸업을 앞둔 6학년 큰아이는 엄마도 없는 집에서 혼자 시간을 보내고 식사를 해결해야 한다.
식사도 어려운 문제이긴 하지만.. 더 어려운 문제는 엄마없는 시간을 어떻게 보낼것인가 하는 고민이다.
물론 아이는 아무런 문제가 없는듯 보인다. (오히려 편안해 보이기도)
그러나 엄마인 나로써는 아무일도 안하고 보내는 시간이 안쓰럽긱도 하고 안타까울수 밖에 없다.
중학교 입학을 앞둔 이시점이 너무 중요해 보이는건 나만의 문제인듯 말이다.
공부를 하라고 한들 제대로 할까.. 싶기도 하여
이번 방학은 몇권의 책을 읽으라고 숙제를 던져주고 도서관에서 책을 빌려왔다.
(아직까지 엄마의 숙제를 해주는게 감사한 일인걸까??)
남자아이라서 그런지 환타지와 만화만책만 읽으려고 하는 아들을 위해
인터넷 검색등으로 심사숙고 하여 청소년 창작문고 몇권을 대출해 왔다.
그중 큰아들의 추천으로 읽은 책이 ""세계를 건너 너에게 갈께-이꽃님"" 이다.
다른 여러권의 책중 재미있다고 얘기하길래 엄마도 같이 읽어볼께.. 하며 이책을 시작했다.
서로의 편지를 주고 받는 형식의 꽤 간결한 책이었다.
곧 재혼을 앞둔 아빠에게 불만이 많은 독립을 꿈꾸는 (다른 이들은 가출이라 생각하는 ) 사춘기 여자 아이 은유의 편지에서 시작된 이야기는 한순간에 이책 한권을 읽게 만들만큼 흡입력이 있다.
같은 이름을 가진 30년전의 누군가가 내 편지에 답장을 하다..
영화나 드라마에서 많이 나오는 모티브 이긴 하지마.. 역시나 흥미로울수 밖에 없는것 같다.
아들이 왜 이 책을 유독 좋아했는지 여러모로 공감이 가기도 하고..(역시 환타지류 구나.. 음.. )
나이가 더 많은 나로써는 30년전  과거의 사건 사고들이 예전 향수를 일으키며 요즘 유행하는 복고와도 맞아 떨어졌다.
흥미롭게 이야기를 읽어가다 보면..
엄마로써 눈물을 흘릴수 밖에 없는 이야기로 마무리 된다.
현실의 은유는 아빠를 이해했을까? 존재 하진 않지만 엄마의 사랑을 느꼈겠지?
앞으로의 생활을 달라졌겠지??
아들은 이책을 읽으며 눈물이 났을까??
등등 예전에 책을 읽을때와는 또 다르게 아이의 입장과  아이의 감성이 궁금해 지게 하는 책이었다.
이런 책읽기도 참 좋구나..   마냥 어리게 느껴졌던.. 아들과 이런 공감을 할수도 있구나.. 하는
새삼스런 감상에 젖기도 하며.. 오랫만에 좋은 책읽기를 한듯 뿌듯해졌다.
사춘기를 앞둔 부모님과 자녀들이 함께 읽으면 좋을 책이다 싶다.
아들아.. 사춘기가 다가오는 이시점에서
우리 호르몬의 노예가 되더라도... 엄마와 잘 헤쳐자가 보자!!! 화이팅!!
다음 책은 무엇을 읽어야 할까....
2020.02.04   초등학교졸업축하하고 중학교 입학축하한다 아들!!!",WDRW1900100090,원시,비출판물 > 일기,43,직장인/전문직,F,온라인,No,20200000,null_세계를 건너 너에게 갈게,비출판물 > 일기,40~49
P00159,무료한 일상,"취업을 하면 뭔가 꽃길을 걸을 줄 알았다. 그래서 열심히 공부하고 또 공부하고 해서 원하는 직장에 취업을 했다.  하지만 현실은 매일 사직서를 마음 한켠에 품고 사는 무료한 직장인 신세이다. 취준생분들은 배부른 소리하고 있다고 비난할테지만 그들도 막상 나처럼 취업을 하고 매일 똑같은 사람들, 똑같은 일들, 똑같은 일상을 보내게 되는 현실을 깨닫게 된다면 내가 언제 그랬냐는듯 나와 같은 마음일 것이다. 오늘도 여느때와 똑같았다. 1년, 365일 고정적으로 맞춰져 있는 알람 소리에 맞춰 일어나고 씻고, 억지로 몇 술갈 우겨넣고 나름 집을 떠나야한다고 정한 시간을 집을 나선다. 남들의 안녕에 관심도 없으면서 사무실을 들어서면 힘차게 안녕하세요를 외친다. 다른 사람들도 똑같이 안녕하세요를 외친다. 정작 나는 그들의 얼굴과 눈은 전혀 보지 않고 그들의 안녕에는 전혀 신경을 안쓰고 정해진 자리에 앉아 가방을 내려놓고 노트북을 켜고 일을 하기 시작한다. 그리고 점심 시간이 되면 동료들과 사내 식당으로 향한다. 무슨 음식이 나왔는지 정작 관심은 없지만 어색한 분위기가 싫어서 오늘 반찬은 간이 적절한지 맛은 어떤지 대화를 쥐어짜고 있는 나를 본다. 식판의 밥이 없어질때까지 시간을 채우기 위한 의례적인 행사라고나 할까. 그리고 또 다시 사무실로 들어가서 노트북을 쳐다보며 일을 한다. 일을 잘해야겠다는 목표 의식은 없다. 다만 퇴근 시간을 기다리며 시간을 채울 뿐이다. 어차피 빨리 하고 잘하고는 나의 관심사가 아니다. 그냥 주어진 일을 할 뿐이다. 특별히 잘못된 일만 없다면 그냥 할 뿐이다. 째깍째깍 시간이 간다. 퇴근 시간이 되면 아침에 안녕을 묻던 이들에게 안녕히 계시라는 인사를 남기고 홀연히 떠난다. 걸음을 재촉한다. 걸음을 재촉하는 이유는 없다. 어차피 집에 도착하면 아침과 별반 다를바 없이 씻고, 밥 먹고, 티비를 켜서 시간을 때운다. 가끔은 이런 삶이 짐승과 별반 다르지 않나 생각도 든다. 인간과 짐승은 다르다고 하니까 다르다고 무의식적으로 인지할 뿐이다. 내일도 모레도 똑같은 일상을 살아갈 것이다. 내가 살아있는 동안은 계속 그러겠지.",WDRW1900100159,원시,비출판물 > 일기,40,직장인/전문직,F,온라인,No,20200000,null_무료함,비출판물 > 일기,40~49
P00171,새벽의 느낌,"강아지가 얼굴을 핥는다. 눈을 떠 보니 아직 어둡고 고개를 돌려 시계를 보니 새벽 3시 무렵인 듯 하다.  이 녀석.. 왜 깨웠냐...알고 보니 큰 볼 일을 봤구나... 얼른 치웠다.  그러나 잠이 한 번 깨니 잘 들지 않는다. 무엇을 해야 할까... 오늘은 어떤 일을 마쳐야 할까...괜시리 걱정이 드는 건 왜 일까..풋... 강아지 옆에서 알람을 맞추고 다시 잠을 청한다.
귓가에 굉음이 들려오는 듯하다...시끄러워 손을 휘져었다 핸드폰 알람이네 시계를 보니 아차...10분이나 늦게 일어났다 근데 이상하게 몸이 일어나지지 않는다...뭐지... 결국 일어나고 보니 30분이나 늦게 일어났다. 세수를 하는 둥 마는 둥 서둘러서 출근 준비에 나선다. 늦지 말아야 하는데... 서두르다 보니 더 늦어지는 느낌이다. 빵도 먹는 둥 마는 둥 그냥 쑤셔넣은 느낌이다. 얼른 가방을 챙겨 지하철역을 향한다. 지하철역으로 가는 나의 발걸음이 엄청 빨라진다. 가자 빨리 가자 속으로 계속 되내이며 종종 걸음을 걷는다. 늘 타는 시간의 열차를 놓치면 안 되는데...제발 ... 제발... 안 되겠다 그냥 뛰어야겠다. 헉  헉..... 숨이 점점 차 오른다. 계단도 우다다 내려가고 후다닥 .....개찰구를 지나 에스컬레이터도 후다닥 내려가게 된다. 죄송합니다를 가끔씩 말하면서 지나가게 된다.....스크린도어가 이제 보인다..빨리 가자....근데 무언가 이상하다...아니야 그럴 리 없어...아니야 그럴 리 없어 열차 노선도 스크린을 올려다 보았다. 열차가 방금 지나갔다. 망연자실....아 망했다....다음 열차 오려면 10분 넘게 걸리는데 ..... 속으로 욕이 나온다. 괜히 강아지가 원망스럽다. 사실 강아지가 중간에 깨우는 일은 자주 있는 일이다. 그런데 오늘처럼 늦은 적은 거의 없었다. 강아지 잘못이 아니지...내가 그 동안 피로누적이 된 것 같다. 요즘 피로도가 극심한 편이다. 결국 이런 사단이 벌어지는구나...오늘 하루가  길겠다는 막연한 불안감이 들면서 다음 열차를 기다려본다. 빨리 와라 빨리 와라 오히려 빨리 오라고하니  더 안 오는 듯 느껴진다. 아....",WDRW1900100171,원시,비출판물 > 일기,40,직장인/전문직,M,온라인,No,20200000,null_새벽,비출판물 > 일기,40~49
P00175,시간과 돈,"오늘따라 이번 겨울 들어 최고로 추운 날씨인 것 같다. 아침부터 매일 반복되는 힘든 일상적인 일을 끝내고 커피 한 잔의 여유를 느끼고자 소파에 등을 기대면서 느긋하게 앉아 본다. 앉자 마자 한 모금 넘기기도 전에 휴대폰이 울린다. 알림음을 다르게 해 둔 탓에 소리만 듣고도 어디서 온 내용인지 대번에 알겠다. 일을 의뢰하는 내용이다. 괜히 인상이 찌푸려진다. 좀 쉴려고 했는데 바로 일해야겠구나 싶어서이다. 그렇다고 일이 싫은 건 아니다. 아니 오히려 반갑고 감사한 일이다. 딱 쉬려는 시간에 맞춰 울리는 알람이  야속할 뿐이다. 폰을 열어 보니 아까보다 인상이 더 찌푸려진다. 두 시간 후가 마감인 작업이다. 커피 마실 여유도 없겠구만... 두 시간 후가 마감이면 두 시간짜리도 안 되는  일감이란 뜻인데 그럼 돈도 얼마  안되는 작업이란 뜻이다. 돈은 안되고  시간적인 압박감만 크고 이렇게 급할수록 골치 아픈 작업이다. 그래도 마음을 다잡고 일할 준비를 서둘러 본다. 컴퓨터에 앉아서 머리를 싸매야 하는 일. 시간이나 돈으로 그 가치를 매길 수 있을 것인가. 시간이  많이 걸리고 돈이 적게 되고 시간이 적게 걸리면서도 돈이 많이 되고 이런 저런걸 따져서 일의 중요성을 매길 수 있을 것인가. 그저 일이 없는 것에 비하면 작은 일도 얼마나 소중하고 감사한가. 그저 멍하니 시간만 흘려 보내면서 쇠퇴해져가는 두뇌를 시간 가는 것도 잊고 돈까지 벌면서 두뇌 노화를 지연하고 인지 능력을 개발할 수 있다는 게 또 얼마나 감사한 일인가. 직장 다니며 일보다 사람에 더 치이고 스트레스 받는데 재택 근무가 얼마나 복 받은 일인가. 다시 한 번 긍정적인 생각들로 채우면서 커피 잔을 들고 책상으로 향한다. 기쁘다. 즐겁다. 나는 단순 노동이 아니라 지적인 탐구를 하는 엘리트, 화이트칼라 노동력이라는 자부심도 가져 본다. 그저 내가 이 작업으로 벌 수 있는 돈의 액수를 따지면 그런 자부심은 애초에 갖지 못할 것이다. 시간의 가치도 돈의 가치도 나 자신의 가치에 비할 바 아니다.  마감이 코 앞이니  서둘러야지... 열심히 머리도 굴리고 손가락도 굴려서  키보드를 두드려야  이번 작업을 마치고  다음 새로운 작업에서 새로운 지적 탐구를 계속할 수 있을 것이다. 화이팅!",WDRW1900100175,원시,비출판물 > 일기,51,직장인/전문직,F,온라인,No,20200000,null_일,비출판물 > 일기,50~59
P00181,미워하는 사람이 있습니다. ,"음... 내가  미워하는 사람이 있습니다. 싫은 사람인게죠
문제는 출근해서 매일 퇴근시간까지 마주해야하고 더한 것은 점심식사를 같은 자리에서 같이 해야한다는 것입니다.
이거... 정말 괴롭습니다.
내가 아무리 안그런 척 이것 저것 부족하다 싶은 것들을 알려주고 챙겨주고는 있지만  밉고 싫은 건 사실입니다.
굳이 일면을 밝힌다면
대표에게 매일 음료수를 혼자 갖다준답니다. 같은 동료들에게는 돌리지않으면서 대표에게만 그것도 살짝,  다른 직원들 몰래 갖다준답니다. 그리고는 소곤소곤 이야기를 합니다.
목소리 작은 건 누가 뭐라 하겠냐만, 근무시간에도 속삭이며 이야기합니다. 그리고 자신이 화가나면 큰 목소리가 나오기도 한답니다. 아예 목소리가 작다면 모르겠지만 의도적으로 혼자 궁시렁 거리며 혼잣말 식으로 이야기하고 너네게 알아들으라는 듯하여 무척 불쾌합니다. 3번을 이야기했지만 노력하겠다고만 하지 변하지 않습니다.
더 이야기해봤자 잔소리로밖에 느껴지지않을테니 더이상 이야기는 않고 있습니다.
다만 너무 안들릴 땐 상대방이 알아듣게 이야기하자고 말은 합니다.
같이 식사하고 거의 매일 마주하는 동료들에게는 자신의 이야기는 하지않으면서 거래처 남자 대표들에게는 정말 이상하게 들릴 정도의 웃음소리로 응대하고 콧소리를 내고 자신이 운동하러 다닌다는 둥 개인사를 이야기하는 걸 보고 다른 직원들 모두 어처구니없어 했습니다.
음... 이상하고 밉고 싫습니다.  방법이 없습니다.  내 마음을 바꾸려고 법문도 읽어보고 성경도 읽어보고 마음가짐을 바꾸자 다짐을 하고 미운놈 떡하나 더 준다는 속담처럼 간식도 사주고 해봤지만 미운 건 변함없습니다. 그래서 제 자신이 불편합니다. 탈출하고 싶습니다.  저는 미워하는 사람이 있습니다.",WDRW1900200181,원시,비출판물 > 일기,48,직장인/전문직,F,온라인,No,20200000,null_미움,비출판물 > 일기,40~49
P00182,5학년  올림피아드 경기를  준비하면서 ,"전국 발도프르학교 5학년 아이들의 가장 큰 행사인 올림피아드 축제! 올해는 우리 학교에서  개최하게 되었습니다.  윗 학년에서 열렸던 올림피아드는 그저 사진으로만 봤기때문에 어떠할지 전혀 짐작도 안되는 상황에서 엄마, 아빠들은 경기에 필요한 의상, 운동 기구 등을 준비하느라 분주한 가을을 보냈습니다.  예비모임을 위해  본 행사 한달 전 전국 5학년 발도르프 학교 아이들이 한자리에 모였고 멀리서 오는 학생들을 위해서 우리는 홈스테이도 준비하였습니다.  첫째가 딸아이여서 저 멀리 전라도에서 온 여자 친구 3명이 하룻밤을 자게 됐는데 흥분하는 아이와는 달리, 엄마인 저는 왜 이렇게 신경쓸 일들이 많은지.. 없는 이불 다 끌어모아서 깨끗하게 빨고 집 구석구석 청소하고 혹시 못먹는 음식이 있을지 걱정하면서 이런저런 장보고 요리하고..  정신없는 하루를 보냈습니다. 생각보다 차가 막혀서 오후 늦게 올라온 아이들은 얼굴에 피곤함과 긴장감이 적절하게 섞인 얼굴로 부끄럽게 인사를 건냈고 저도 쑥쓰러워서 오히려 호들갑을 떨며 세명의 꼬마 숙녀 손님들을 맞이하였습니다. 아이들은 금방 친해져서 작은 일에도 까르르~ 웃음을 터뜨리고 그 나이대 여자아이들의 최대 관심사인 같은 반 남자친구들의 장난질에 대한 성토의 장을 마련하여 한참을  진지하게 이야기 나눴습니다. 밥이 입에 안맞은건지 아니면 피곤했던 건지 저녁밥을 많이 먹지는 않았지만 어디서 그런 체력이 나온건지 짧은 밤이 아쉬운 듯 12시까지 책보고  이야기 꽃을 피웠습니다. 새벽에도 일찍 일어나서 자리정리 싹하고 기다리는 예쁜 5학년 아이들! 피곤해서 예행연습을 어떻게 했을지 걱정입니다.  하루종일 운동장에서 뛰고  구르고! 하루를 잘 보낸 후 아쉬운 작별을 했습니다. 그러나 한달 후 본경기때 다시 만날것이기 때문에 아쉬운 마음은 잠시 접고 한달간 기쁜 마음으로 기다려볼까 합니다. 올림피아드 자체도 흥분과 즐거움의 순간이겠지만 올림피아드 참석을 위해 멀리서 온 다른 발도르프학교 아이들을 알게되고 하룻밤 함께 지낸 것이 더 기억에 남습니다. 같은 교육을 한다는 것 만으로도 한 식구같고 애뜻한 마음을 나눌 수 있어서 소중한 추억이 되었습니다.",WDRW1900100182,원시,비출판물 > 일기,42,직장인/전문직,F,온라인,No,20190000,기억,비출판물 > 일기,40~49
P00789,올망졸망,"구김 없이 밝게
자신감 있게 키우고 싶었다.
내가 겪은
우리네가 겪은 시행착오와 학대, 잘못된 관행을 끊어내고
시리고 매운 어느 날
보듬어지고 따뜻한 품에 머물렀던 기억을 뱃심 삼아 이겨내길 바라며
사랑 받았노라 느낄 수 있게 키우고 싶었다.
치열하게 열심히 산 세월
맨 땅에 헤딩하며 산 시간
늘 머무르고 있었으나 언제나 모자란 상태인 나의 맵고 시린 삶에
덩달아 고생하여야 하였던 아이들
그 고생도 모자라 어리석음이 영글어 지은 죄들로 망쳐진 아이들
무력 하기에 무시 당하고
무력 하기에 쉽게 배신 당하며
믿지 말아야 할 자를 믿은 죄
거짓에 속은 죄
솔직한 죄
묻는 대로 답한 죄
꾀부리지 않은 죄
모든 것에 최선을 다한 죄
모든 이를 존중한 죄
양심 없고 상식 없는 악인에게조차
양심과 선의, 인간성이 있으리라 생각한 죄
슬금슬금 경계가 무너진 죄
아닌 것을 알면서도 내치지 못한 죄
민낯을 꿰뚫어 보고도 다시 기회를 준 죄
필요에 따라 낯 바꾸는 자를 진정으로 대한 죄
남의 호의를 의심하지 않은 죄
도움판으로 이용 당한 죄
거절 하지 못한 죄
버려야 할 것을 버리지 않은 죄
무례한 자에게까지 도리를 다한 죄
나를 무시하고 함부로 하는 자를 그대로 둔 죄
스스로를 믿지 못한 죄
세상을 믿은 죄
사랑을 기대하고
사랑의 존재를 의심 하지 않은 죄
공의와 덕성을 믿은 죄
'정보와 정치의 싸움'에서 진 죄
약한 죄
어리석은 죄
사랑 받지 못한 죄
가난한 죄
사랑하는 아이들을 지키지 못한 죄
그 죄의 댓가로 혹독하고 맵게 벌 받으며 사는 나는
지금부터라도 잘 살면 되는 것인데
아이들의 미래가 잘못 되었다는 것이 아니라
비록 힘든 여건이나
여전히 준비와 관리를 하지 않으면
때를 놓치고
깨닫게 되었을 땐 회복 되지 않으니 앞으로를 망치지 않기를 바라는 마음과
아이들이 잃은 것들에 대한 속상함으로 나온 말이라는 이유로
또 다시 상처 준다.
자기 방어를 배우지 못하여
큰 소리가 나고 감정이 상하였는 데 억지로라도 웃는 얼굴로
감정에 반하여 애쓰는 아이들의 슬픈 눈을 마주하고서야 다시 행한 어리석음을 깨닫고 미어진다.
깨닫는들 늦었고
후회한들 회복 되지 않으니 마음이 아프다.
남은 생 동안 어찌 살까 깊어지는 고민 앞에
울고 웃고 사는 별거 아닌 삶
할 말은 하고
상처 주지 않고
상처 받지 않게 살려고 애쓰는
누구나 그러하듯이
허락된 안에
할 수 있는 작은 노력을 쌓아 보는 오늘
그 안에 함께 할 수 있다면
즐거움이겠지",WDRW1900100789,원시,비출판물 > 일기,47,직장인/전문직,F,온라인,No,20200000,null_아이들,비출판물 > 일기,40~49
P01221,과몰입,"과몰입이란 단어는 나를 위한 거다. 모든 것에 과하게 몰입한다. 마라탕을 처음 먹었을 때 익숙한 듯 낯선 맛이 자극적이지 않아 너무 맛있다며 극찬을 했고, 종종 방문한다. 나에게 차는 현미녹차, 율무차가 고작이었는데, 카페에서 페퍼민트차, 캐모마일차를 접한 뒤로는 시간이 날 때마다 차 종류, 효능을 찾아보곤 한다. 나의 과몰입은 문화생활까지 이어진다. 영화 장르 불문하고 영화가 끝나면 한동안 그 영화의 등장인물과 장소에 산다. 인터넷으로 후기 찾아본다는 뜻이다. 그렇다고 최신 영화를 즐겨보는 편은 아니다. 신기하게도 봤던 영화만 고집한다. 여러 번 보다보면 내가 미처 놓쳤던 부분을 찾을 수 있다. 그 때의 기분은 말로 표현할 수 없다. 최근 '리틀 포레스트'를 봤는데 한국판, 일본판이 있다는 걸 듣고 한국판 먼저 봤다. 두 편 다 마음에 들었지만 한국판 리틀 포레스트에서 등장인물 세 명의 관계가 너무 좋았다. 아련한 듯 쓰라리는, 하지만 단단한 그들의 우정에 푹 빠져 오랜만에 친구들에게 연락을 했다.",WDRW1900201221,원시,비출판물 > 일기,46,직장인/전문직,F,온라인,No,20200000,null_과몰입,비출판물 > 일기,40~49
