나이,성별,감정,주제,추가주제,기타의견
50대,남,행복,특별한 사건,,
40 대,여,행복;슬픔;후회,출생/성장;학교/학창시절;결혼/가족,,
40 대,남,행복;향수,학교/학창시절;특별한 사건,군대,추억과 비슷한 시대의 가요가 접목이 된다면?
50대,여,자부심,학교/학창시절,,
60대,여,행복;자부심;슬픔,여가/취미,,
40 대,여,행복;감사,출생/성장;음식/간식,,
40 대,남,"후회;아무생각 없음 , 그땐 그런일 있었군 왜 기억낫지?",특별한 사건,좋았던 기억들만 추억하고 싶음,고생하십니다~ 화팅
50대,남,향수,학교/학창시절,,
60대,남,행복;감사;후회,명절/절기;결혼/가족;여가/취미,,
50대,남,향수,학교/학창시절,,
50대,여,후회,출생/성장,새로운 도전을 시도해보겠습니다 ,
60대,남,행복;감사,출생/성장;학교/학창시절,,
50대,남,행복;향수,학교/학창시절,,
40 대,남,행복;감사;자부심;슬픔;후회;향수;평온;놀람,학교/학창시절;명절/절기;음식/간식;직업/일;여가/취미;특별한 사건,,
50대,남,행복;감사;슬픔;후회;향수;평온,여가/취미;특별한 사건,군대이야기,판타지 소설처럼 회귀로 어릴때로 돌아가고 싶네요.
40 대,남,후회,학교/학창시절,,
40 대,남,행복;슬픔;후회;향수,학교/학창시절;직업/일;결혼/가족,여행,없음
40 대,여,향수,학교/학창시절;특별한 사건,,
27,남,행복;후회,학교/학창시절,남성분들 한정으로 군인시절 추억도 좋다생각합니다,악동님 사랑합니다
60대,여,행복;감사;후회;향수,출생/성장,어릴때추억( 학생시절에 그리움),
40 대,남,행복;후회;향수,여가/취미,군생활 학창시절,
50대,여,행복;자부심;후회,음식/간식;결혼/가족,,
60대,남,행복,여가/취미,출생과성장,현재가 행복하면 과거도행복한것같습니다
50대,여,행복,학교/학창시절;특별한 사건,,
50대,여,행복;감사;향수,학교/학창시절;음식/간식;여가/취미,어릴때 집에가는데 빤짝빤짝하면서 날아다니는데 보니까 반디불이야 그때 처음으로 본거라 넘 신기하더라,무슨일을하던 재미있는거 만들어주면 좋겠네요
50대,남,행복,학교/학창시절,친구들과놈,고등친구들얼굴보고싶다
50대,남,평온,결혼/가족,없어요,좋아요
40 대,남,행복,결혼/가족,아이들 성장,없음
50대,여,향수,출생/성장;학교/학창시절,학창시절,
60대,여,행복,출생/성장,,
60대,여,행복;향수,출생/성장,,
60대,여,행복,여가/취미,,
50대,여,행복;감사;향수,학교/학창시절,재미있게 놀았던 추억놀이,"활용하기에 편리하고 좋은 앱 만들어주세요
"
60대,남,행복;감사,여가/취미,여행,
60대,남,행복;감사;후회;향수;평온,학교/학창시절,고향,감사
50대,남,행복;슬픔;향수,여가/취미,자전거 종주,나때는 말야. 
50대,남,감사,학교/학창시절,친구들 인생이야기,
50대,남,감사;자부심;후회,학교/학창시절;여가/취미;특별한 사건,노래,감사합니다^^
50대,남,행복;평온,학교/학창시절,어릴때 같이 놀던 동네 친구들,부모님과의 어렸을적 추억도 좋은 얘기가 되지 않을 까요?
50대,남,행복;감사;자부심,학교/학창시절;직업/일,,
40 대,남,행복,결혼/가족,,
50대,남,행복;후회,학교/학창시절;직업/일;여가/취미,,
50대,남,행복;후회,학교/학창시절;여가/취미,,
40 대,남,행복,출생/성장,,
50대,남,행복;감사;자부심,직업/일;결혼/가족;여가/취미,,
50대,여,행복;감사;자부심;슬픔;향수;평온,학교/학창시절;직업/일;여가/취미;특별한 사건,,
30대,남,행복;감사;외로움;향수,출생/성장;학교/학창시절;직업/일;결혼/가족;특별한 사건,,
40 대,남,행복;감사;후회;향수,출생/성장;학교/학창시절;직업/일,,
40 대,남,행복;향수,출생/성장;결혼/가족;여가/취미,,
40 대,남,행복;향수,학교/학창시절;여가/취미,,
50대,남,행복;감사;향수,학교/학창시절;결혼/가족;특별한 사건,,
40 대,남,행복;향수,출생/성장;학교/학창시절,가족여행,없음
50대,남,행복,학교/학창시절,,
50대,남,향수;놀람,학교/학창시절;직업/일,,
50대,남,행복;후회;향수,출생/성장;학교/학창시절,,
50대,남,행복;향수,학교/학창시절,.,.
50대,남,행복;감사;후회;외로움;향수,학교/학창시절;결혼/가족,여행 운동,없음
50대,여,행복;향수,학교/학창시절,여행갔던일,나이먹을수록 추억을 먹고 사는것 같다
50대,남,행복;자부심;슬픔;후회;향수,특별한 사건,,
50대,남,행복;감사;자부심;슬픔;향수,출생/성장;학교/학창시절;결혼/가족;여가/취미,,
50대,남,행복,음식/간식,,
40 대,여,행복;감사;슬픔;후회,특별한 사건,"생애주기별 음악, 영화, 정치...",
60대,남,행복;자부심,직업/일,투망,추억은 그리워
40 대,여,행복;감사,학교/학창시절;결혼/가족,,
50대,여,행복;향수;평온,출생/성장;음식/간식,어린시절놀이,다시 돌어가면 어떨까? 라고 생각했다
30대,남,자부심;힘듦 역경,특별한 사건,역경 극복 과정,
50대,남,향수,출생/성장,,
50대,남,감사;후회,결혼/가족,연애 이야기,감사
50대,남,행복;감사;향수,직업/일;여가/취미,젊은시절 힘,"인식하지 못 하고 있다가 소중했던 기억을
깨워지는 사물.물건.말.분위기
같은 설문도 있으면 좋겠음^^♡
"
