"타임스탬프","나이 (만 나이)","성별","추억을 떠올릴 때, 아래 감정 중 무엇을 느끼셨나요? (복수 선택가능)","과거(추억)를 떠올리며 이야기를 나눈다면, 어떤 주제가 가장 흥미로울 것 같나요?","그 외에 추억과 관련하여 이야기를 나눌 때 나누고 싶은 주제가 있다면 작성해주세요 !","그 외 하고 싶은 말이 있다면 작성해주세요"
"2025/05/16 5:15:19 오후 GMT+9","50대","남","행복","특별한 사건","",""
"2025/05/16 5:21:43 오후 GMT+9","40 대","여","행복;슬픔;후회","출생/성장;학교/학창시절;결혼/가족","",""
"2025/05/16 5:21:52 오후 GMT+9","40 대","남","행복;향수","학교/학창시절;특별한 사건","군대","추억과 비슷한 시대의 가요가 접목이 된다면?"
"2025/05/16 5:23:40 오후 GMT+9","50대","여","자부심","학교/학창시절","",""
"2025/05/16 5:25:49 오후 GMT+9","60대","여","행복;자부심;슬픔","여가/취미","",""
"2025/05/16 5:27:30 오후 GMT+9","40 대","여","행복;감사","출생/성장;음식/간식","",""
"2025/05/16 5:31:21 오후 GMT+9","40 대","남","후회;아무생각 없음 , 그땐 그런일 있었군 왜 기억낫지?","특별한 사건","좋았던 기억들만 추억하고 싶음","고생하십니다~ 화팅"
"2025/05/16 5:32:04 오후 GMT+9","50대","남","향수","학교/학창시절","",""
"2025/05/16 5:34:50 오후 GMT+9","60대","남","행복;감사;후회","명절/절기;결혼/가족;여가/취미","",""
"2025/05/16 5:36:47 오후 GMT+9","50대","남","향수","학교/학창시절","",""
"2025/05/16 5:38:19 오후 GMT+9","50대","여","후회","출생/성장","새로운 도전을 시도해보겠습니다 ",""
"2025/05/16 5:40:36 오후 GMT+9","60대","남","행복;감사","출생/성장;학교/학창시절","",""
"2025/05/16 5:43:45 오후 GMT+9","50대","남","행복;향수","학교/학창시절","",""
"2025/05/16 5:47:22 오후 GMT+9","40 대","남","행복;감사;자부심;슬픔;후회;향수;평온;놀람","학교/학창시절;명절/절기;음식/간식;직업/일;여가/취미;특별한 사건","",""
"2025/05/16 5:49:43 오후 GMT+9","50대","남","행복;감사;슬픔;후회;향수;평온","여가/취미;특별한 사건","군대이야기","판타지 소설처럼 회귀로 어릴때로 돌아가고 싶네요."
"2025/05/16 5:51:24 오후 GMT+9","40 대","남","후회","학교/학창시절","",""
"2025/05/16 5:53:47 오후 GMT+9","40 대","남","행복;슬픔;후회;향수","학교/학창시절;직업/일;결혼/가족","여행","없음"
"2025/05/16 5:55:18 오후 GMT+9","40 대","여","향수","학교/학창시절;특별한 사건","",""
"2025/05/16 6:02:02 오후 GMT+9","27","남","행복;후회","학교/학창시절","남성분들 한정으로 군인시절 추억도 좋다생각합니다","악동님 사랑합니다"
"2025/05/16 6:06:10 오후 GMT+9","60대","여","행복;감사;후회;향수","출생/성장","어릴때추억( 학생시절에 그리움)",""
"2025/05/16 6:13:28 오후 GMT+9","40 대","남","행복;후회;향수","여가/취미","군생활 학창시절",""
"2025/05/16 6:14:22 오후 GMT+9","50대","여","행복;자부심;후회","음식/간식;결혼/가족","",""
"2025/05/16 6:45:26 오후 GMT+9","60대","남","행복","여가/취미","출생과성장","현재가 행복하면 과거도행복한것같습니다"
"2025/05/16 7:01:12 오후 GMT+9","50대","여","행복","학교/학창시절;특별한 사건","",""
"2025/05/16 7:39:14 오후 GMT+9","50대","여","행복;감사;향수","학교/학창시절;음식/간식;여가/취미","어릴때 집에가는데 빤짝빤짝하면서 날아다니는데 보니까 반디불이야 그때 처음으로 본거라 넘 신기하더라","무슨일을하던 재미있는거 만들어주면 좋겠네요"
"2025/05/16 8:50:48 오후 GMT+9","50대","남","행복","학교/학창시절","친구들과놈","고등친구들얼굴보고싶다"
"2025/05/17 9:37:29 오전 GMT+9","50대","남","평온","결혼/가족","없어요","좋아요"
"2025/05/17 9:40:19 오전 GMT+9","40 대","남","행복","결혼/가족","아이들 성장","없음"
"2025/05/17 9:46:56 오전 GMT+9","50대","여","향수","출생/성장;학교/학창시절","학창시절",""
"2025/05/17 9:59:54 오전 GMT+9","60대","여","행복","출생/성장","",""
"2025/05/17 10:20:32 오전 GMT+9","60대","여","행복;향수","출생/성장","",""
"2025/05/17 11:05:14 오전 GMT+9","60대","여","행복","여가/취미","",""
"2025/05/17 11:11:42 오전 GMT+9","50대","여","행복;감사;향수","학교/학창시절","재미있게 놀았던 추억놀이","활용하기에 편리하고 좋은 앱 만들어주세요
"
"2025/05/17 11:15:13 오전 GMT+9","60대","남","행복;감사","여가/취미","여행",""
"2025/05/17 11:18:53 오전 GMT+9","60대","남","행복;감사;후회;향수;평온","학교/학창시절","고향","감사"
"2025/05/17 11:19:15 오전 GMT+9","50대","남","행복;슬픔;향수","여가/취미","자전거 종주","나때는 말야. "
"2025/05/17 11:23:08 오전 GMT+9","50대","남","감사","학교/학창시절","친구들 인생이야기",""
"2025/05/17 11:27:00 오전 GMT+9","50대","남","감사;자부심;후회","학교/학창시절;여가/취미;특별한 사건","노래","감사합니다^^"
"2025/05/17 11:27:16 오전 GMT+9","50대","남","행복;평온","학교/학창시절","어릴때 같이 놀던 동네 친구들","부모님과의 어렸을적 추억도 좋은 얘기가 되지 않을 까요?"
"2025/05/17 11:27:24 오전 GMT+9","50대","남","행복;감사;자부심","학교/학창시절;직업/일","",""
"2025/05/17 11:29:33 오전 GMT+9","40 대","남","행복","결혼/가족","",""
"2025/05/17 11:30:24 오전 GMT+9","50대","남","행복;후회","학교/학창시절;직업/일;여가/취미","",""
"2025/05/17 11:31:23 오전 GMT+9","50대","남","행복;후회","학교/학창시절;여가/취미","",""
"2025/05/17 11:32:33 오전 GMT+9","40 대","남","행복","출생/성장","",""
"2025/05/17 11:34:18 오전 GMT+9","50대","남","행복;감사;자부심","직업/일;결혼/가족;여가/취미","",""
"2025/05/17 11:34:29 오전 GMT+9","50대","여","행복;감사;자부심;슬픔;향수;평온","학교/학창시절;직업/일;여가/취미;특별한 사건","",""
"2025/05/17 11:35:23 오전 GMT+9","30대","남","행복;감사;외로움;향수","출생/성장;학교/학창시절;직업/일;결혼/가족;특별한 사건","",""
"2025/05/17 11:36:49 오전 GMT+9","40 대","남","행복;감사;후회;향수","출생/성장;학교/학창시절;직업/일","",""
"2025/05/17 11:39:49 오전 GMT+9","40 대","남","행복;향수","출생/성장;결혼/가족;여가/취미","",""
"2025/05/17 11:41:06 오전 GMT+9","40 대","남","행복;향수","학교/학창시절;여가/취미","",""
"2025/05/17 11:44:12 오전 GMT+9","50대","남","행복;감사;향수","학교/학창시절;결혼/가족;특별한 사건","",""
"2025/05/17 11:45:06 오전 GMT+9","40 대","남","행복;향수","출생/성장;학교/학창시절","가족여행","없음"
"2025/05/17 11:48:20 오전 GMT+9","50대","남","행복","학교/학창시절","",""
"2025/05/17 11:54:00 오전 GMT+9","50대","남","향수;놀람","학교/학창시절;직업/일","",""
"2025/05/17 12:10:05 오후 GMT+9","50대","남","행복;후회;향수","출생/성장;학교/학창시절","",""
"2025/05/17 12:19:10 오후 GMT+9","50대","남","행복;향수","학교/학창시절",".","."
"2025/05/17 12:19:49 오후 GMT+9","50대","남","행복;감사;후회;외로움;향수","학교/학창시절;결혼/가족","여행 운동","없음"
"2025/05/17 12:32:09 오후 GMT+9","50대","여","행복;향수","학교/학창시절","여행갔던일","나이먹을수록 추억을 먹고 사는것 같다"
"2025/05/17 12:37:54 오후 GMT+9","50대","남","행복;자부심;슬픔;후회;향수","특별한 사건","",""
"2025/05/17 12:48:13 오후 GMT+9","50대","남","행복;감사;자부심;슬픔;향수","출생/성장;학교/학창시절;결혼/가족;여가/취미","",""
"2025/05/17 12:55:43 오후 GMT+9","50대","남","행복","음식/간식","",""
"2025/05/17 1:12:35 오후 GMT+9","40 대","여","행복;감사;슬픔;후회","특별한 사건","생애주기별 음악, 영화, 정치...",""
"2025/05/17 1:19:34 오후 GMT+9","60대","남","행복;자부심","직업/일","투망","추억은 그리워"
"2025/05/17 1:19:38 오후 GMT+9","40 대","여","행복;감사","학교/학창시절;결혼/가족","",""
"2025/05/17 1:40:20 오후 GMT+9","50대","여","행복;향수;평온","출생/성장;음식/간식","어린시절놀이","다시 돌어가면 어떨까? 라고 생각했다"
"2025/05/17 2:09:12 오후 GMT+9","30대","남","자부심;힘듦 역경","특별한 사건","역경 극복 과정",""
"2025/05/17 2:10:33 오후 GMT+9","50대","남","향수","출생/성장","",""
"2025/05/17 2:18:29 오후 GMT+9","50대","남","감사;후회","결혼/가족","연애 이야기","감사"
"2025/05/17 2:37:24 오후 GMT+9","50대","남","행복;감사;향수","직업/일;여가/취미","젊은시절 힘","인식하지 못 하고 있다가 소중했던 기억을
깨워지는 사물.물건.말.분위기
같은 설문도 있으면 좋겠음^^♡
"
